snapped_at,price,market_cap,total_volume,log_returns
2013-07-10 00:00:00+00:00,77.0,877378425.0,0.0,0.007933988415180086
2013-07-11 00:00:00+00:00,85.75,977479256.0,0.0,0.10763066419236536
2013-07-12 00:00:00+00:00,93.804,1069724400.0,0.0,0.08977141298014436
2013-07-13 00:00:00+00:00,88.0622,1004551934.0,0.0,-0.06316411604449557
2013-07-14 00:00:00+00:00,95.58,1090715949.0,0.0,0.081920210168314
2013-07-15 00:00:00+00:00,94.0,1073073450.0,0.0,-0.016668810880008288
2013-07-16 00:00:00+00:00,97.301,1111179853.0,0.0,0.03451448436143422
2013-07-17 00:00:00+00:00,98.9796,1130735527.0,0.0,0.017104501663687603
2013-07-18 00:00:00+00:00,97.8,1117707300.0,0.0,-0.011989191254354074
2013-07-19 00:00:00+00:00,88.7869,1015062893.0,0.0,-0.09668546044768737
2013-07-20 00:00:00+00:00,91.572,1047311253.0,0.0,0.030886431502412187
2013-07-21 00:00:00+00:00,89.28,1021492656.0,0.0,-0.025348049462495654
2013-07-22 00:00:00+00:00,90.3672,1034399451.0,0.0,0.012103871067317976
2013-07-23 00:00:00+00:00,91.7024,1050054379.0,0.0,0.014667181520593098
2013-07-24 00:00:00+00:00,94.5806,1083333286.0,0.0,0.030903829810601982
2013-07-25 00:00:00+00:00,94.525,1083076902.0,0.0,-0.0005880312545172555
2013-07-26 00:00:00+00:00,96.9499,1111232483.0,0.0,0.02533000045161712
2013-07-27 00:00:00+00:00,94.13,1079278107.0,0.0,-0.029517544669484842
2013-07-28 00:00:00+00:00,94.005,1078286703.0,0.0,-0.0013288332143803342
2013-07-29 00:00:00+00:00,98.5759,1131111629.0,0.0,0.04747883748124504
2013-07-30 00:00:00+00:00,101.5,1165105812.0,0.0,0.029231988655848463
2013-07-31 00:00:00+00:00,110.34,1267183179.0,0.0,0.08350770936244267
2013-08-01 00:00:00+00:00,106.23,1220481782.0,0.0,-0.03795995305236263
2013-08-02 00:00:00+00:00,101.61,1167849454.0,0.0,-0.04446459929413203
2013-08-03 00:00:00+00:00,103.7,1192378895.0,0.0,0.020360159737691716
2013-08-04 00:00:00+00:00,104.86,1206152150.0,0.0,0.011124011908905058
2013-08-05 00:00:00+00:00,106.56,1226188584.0,0.0,0.016082079647692253
2013-08-06 00:00:00+00:00,105.841,1218425716.0,0.0,-0.006770238806279076
2013-08-07 00:00:00+00:00,106.75,1229098150.0,0.0,0.008551684122933906
2013-08-08 00:00:00+00:00,101.672,1171586790.0,0.0,-0.048737706528964635
